_id,plr_type,plr_median,plr_confidence_low,plr_confidence_high,length_years_rounded,power_dc,pv_climate_zone,technology1,technology2,type_mounting,tracking
1,sensor,-1,-1.48,-0.62,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
2,sensor,-0.55,-0.79,-0.22,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
3,sensor,-1.44,-1.89,-1.03,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
4,sensor,-0.5,-0.86,-0.2,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
5,sensor,-0.52,-0.86,-0.17,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
6,sensor,-0.6,-0.88,-0.23,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
7,sensor,-1.29,-1.95,-1,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
8,sensor,-1.38,-1.95,-1.09,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
9,sensor,-1.16,-1.56,-0.71,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
10,sensor,-0.67,-0.96,-0.27,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
11,sensor,-0.62,-0.87,-0.27,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
12,sensor,-3.12,-3.63,-2.49,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
13,sensor,-1.39,-1.72,-0.95,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
14,sensor,-1.48,-1.76,-1.23,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
15,sensor,-1.77,-2.05,-1.45,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
16,sensor,-2.17,-2.5,-1.84,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
17,sensor,-1.61,-1.85,-1.34,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
18,sensor,-1.55,-1.84,-1.21,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
19,sensor,-1.26,-1.56,-0.86,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
20,sensor,-1.31,-1.65,-1.04,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
21,sensor,-1.61,-1.94,-1.32,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
22,sensor,-1.3,-1.71,-1,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
23,sensor,-1.87,-2.13,-1.55,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
24,sensor,-1.23,-1.58,-0.97,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
25,sensor,-1.36,-1.63,-0.99,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
26,sensor,-1.11,-1.55,-0.74,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
27,sensor,-1.7,-2.01,-1.36,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
28,sensor,-1.25,-1.52,-0.97,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
29,sensor,-1.25,-1.68,-1,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
30,sensor,-1.34,-1.66,-1.04,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
31,sensor,-1.08,-1.48,-0.8,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
32,sensor,-1.24,-1.53,-0.91,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
33,sensor,-1.36,-1.83,-0.99,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
34,sensor,-1.41,-1.64,-1,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
35,sensor,-1.07,-1.5,-0.69,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
36,sensor,-1.73,-1.93,-1.46,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
37,sensor,-1.38,-1.72,-1.11,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
38,sensor,-1.78,-2.09,-1.55,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
39,sensor,-1.29,-1.62,-0.94,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
40,sensor,-1.31,-1.68,-0.99,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
41,sensor,-1.6,-1.91,-1.3,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
42,sensor,-1.39,-1.71,-1.11,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
43,sensor,-1.22,-1.49,-0.9,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
44,sensor,-1.58,-1.91,-1.32,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
45,sensor,-1.42,-1.79,-1.05,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
46,sensor,-1.41,-1.74,-1.1,5,0.5-2 MW,T4,multi-Si,Al-BSF,Parking,FALSE
47,sensor,-0.95,-1.6,0.04,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
48,sensor,-0.19,-1.22,0.64,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
49,sensor,-0.42,-1.21,0.14,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
50,sensor,-0.62,-1.32,0.45,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
51,sensor,-0.51,-1.05,-0.01,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
52,sensor,-0.55,-1.41,0.38,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
53,sensor,-0.58,-1.27,0.37,3,< 0.5 MW,T3,mono-Si,PERC,Parking,FALSE
54,sensor,-0.56,-0.89,-0.28,5,> 2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
55,sensor,-0.69,-0.85,-0.48,5,> 2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
56,sensor,-0.8,-1.13,-0.5,5,> 2 MW,T4,multi-Si,Al-BSF,Ground,FALSE
57,nsrdb,-1.36,-1.67,-1.05,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
58,nsrdb,-0.43,-1.03,0.08,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
59,nsrdb,-0.32,-0.84,0.23,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
60,nsrdb,-0.83,-1.18,-0.41,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
61,nsrdb,-0.69,-1.13,-0.07,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
62,nsrdb,-0.57,-0.89,-0.07,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
63,nsrdb,-0.7,-1.1,-0.23,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
64,nsrdb,-1.83,-2.34,-1.27,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
65,nsrdb,-0.73,-1.08,-0.29,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
66,nsrdb,-0.81,-1.09,-0.4,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
67,nsrdb,-0.61,-1,-0.15,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
68,nsrdb,-0.7,-1.05,-0.3,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
69,nsrdb,-0.32,-0.99,0.45,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
70,nsrdb,-0.84,-1.27,-0.45,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
71,nsrdb,-0.77,-1.2,-0.42,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
72,nsrdb,-0.78,-1.14,-0.37,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
73,nsrdb,-0.81,-1.21,-0.34,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
74,nsrdb,-0.73,-1.28,-0.31,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
75,nsrdb,-0.64,-0.94,-0.16,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
76,nsrdb,-0.72,-1.11,-0.38,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
77,nsrdb,-0.6,-0.97,-0.19,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
78,nsrdb,-0.46,-0.8,-0.15,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
79,nsrdb,-0.69,-1.01,-0.34,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
80,nsrdb,-0.77,-1.17,-0.36,6,< 0.5 MW,T4,multi-Si,Al-BSF,Parking,FALSE
81,sensor,-0.62,-0.94,-0.35,7,< 0.5 MW,T4,multi-Si,Al-BSF,Ground,FALSE
82,nsrdb,-1.3,-2.22,-0.51,3,< 0.5 MW,T4,mono-Si,n-IBC,Roof,FALSE
83,nsrdb,-1.55,-2.34,-0.83,3,< 0.5 MW,T4,mono-Si,n-IBC,Roof,FALSE
84,nsrdb,-2.21,-2.91,-1.41,3,< 0.5 MW,T4,mono-Si,n-IBC,Roof,FALSE
85,nsrdb,-1.44,-2.16,-0.6,3,< 0.5 MW,T4,mono-Si,n-IBC,Roof,FALSE
86,sensor,-0.05,-1.76,1.38,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
87,sensor,-0.24,-1.39,0.67,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
88,sensor,0.01,-0.95,0.81,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
89,sensor,0.11,-1.31,0.77,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
90,sensor,-0.37,-1.52,0.49,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
91,sensor,-0.12,-1.14,0.81,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
