_id,plr_type,plr_median,plr_confidence_low,plr_confidence_high,length_years_rounded,power_dc,technology1_CIGS,technology1_CdTe,technology1_Unknown,technology1_a-Si,technology1_c-Si,technology1_mono-Si,technology1_multi-Si,technology2_Al-BSF,technology2_CIGS,technology2_CdTe,technology2_PERC,technology2_Unknown,technology2_a-Si,technology2_c-Si,technology2_n-IBC,technology2_n-PERT,technology2_n-SHJ,type_mounting_Canopy,type_mounting_Canopy / Ground,type_mounting_Garage Canopy,type_mounting_Ground,type_mounting_Parking,type_mounting_Roof,pv_climate_zone_T2,pv_climate_zone_T3,pv_climate_zone_T4,pv_climate_zone_T5,pv_climate_zone_T6,tracking,plr_confidence_range,tracking_x_pv_climate_zone_T3,power_dc_numeric
1.0,sensor,-1.0,-1.48,-0.62,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.86,0.0,1.0
2.0,sensor,-0.55,-0.79,-0.22,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5700000000000001,0.0,1.0
3.0,sensor,-1.44,-1.89,-1.03,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8599999999999999,0.0,1.0
4.0,sensor,-0.5,-0.86,-0.2,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6599999999999999,0.0,1.0
5.0,sensor,-0.52,-0.86,-0.17,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.69,0.0,1.0
6.0,sensor,-0.6,-0.88,-0.23,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.65,0.0,1.0
7.0,sensor,-1.29,-1.95,-1.0,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.95,0.0,1.0
8.0,sensor,-1.38,-1.95,-1.09,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8599999999999999,0.0,1.0
9.0,sensor,-1.16,-1.56,-0.71,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8500000000000001,0.0,1.0
10.0,sensor,-0.67,-0.96,-0.27,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.69,0.0,1.0
11.0,sensor,-0.62,-0.87,-0.27,3.0,< 0.5 MW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0
13.0,sensor,-1.39,-1.72,-0.95,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.77,0.0,0.0
14.0,sensor,-1.48,-1.76,-1.23,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.53,0.0,0.0
15.0,sensor,-1.77,-2.05,-1.45,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5999999999999999,0.0,0.0
16.0,sensor,-2.17,-2.5,-1.84,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6599999999999999,0.0,0.0
17.0,sensor,-1.61,-1.85,-1.34,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.51,0.0,0.0
18.0,sensor,-1.55,-1.84,-1.21,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6300000000000001,0.0,0.0
19.0,sensor,-1.26,-1.56,-0.86,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7000000000000001,0.0,0.0
20.0,sensor,-1.31,-1.65,-1.04,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6099999999999999,0.0,0.0
21.0,sensor,-1.61,-1.94,-1.32,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6199999999999999,0.0,0.0
22.0,sensor,-1.3,-1.71,-1.0,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.71,0.0,0.0
23.0,sensor,-1.87,-2.13,-1.55,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5799999999999998,0.0,0.0
24.0,sensor,-1.23,-1.58,-0.97,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0
25.0,sensor,-1.36,-1.63,-0.99,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6399999999999999,0.0,0.0
26.0,sensor,-1.11,-1.55,-0.74,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.81,0.0,0.0
27.0,sensor,-1.7,-2.01,-1.36,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6499999999999997,0.0,0.0
28.0,sensor,-1.25,-1.52,-0.97,5.0,0.5-2 MW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.55,0.0,0.0
